X,Y,Z,Roll,Pitch,Yaw
0,0.263990791,-0.11142723,58.7,0,0
0,0,0,14.14,0,0
0.071722569,0,0.003752994,14.25,0,0
1.274061135,0.673328006,0.010342126,-0.73,0,0
-1.25,0.144393613,-0.030339582,29.49,-0.56,-1.29
-0.75,0,-0.001121193,28.54,-0.44,-1.29
0.5,0.25,-0.005201875,28.59,-0.47,-1.29
-0.25,1,0.002466937,29.21,-3.59,1.85
1.628523382,0,-0.00158659,29.23,-0.47,-1.28
0.25,1.632415323,0.04086139,53.32,-4.5,2.34
0.814886194,-0.75,-0.004756779,55.86,-1.44,-1.22
0.685030706,0.525682193,0.074133863,7.37,-5.71,2.41
1.876403915,1.708227337,-0.119758139,55.22,-3.81,2.32
-0.25,1.300324371,0.009915842,54.03,-4.94,2.06
0.5,-0.25,0.002593226,54.84,-1.79,-1.2
0.5,0,0.001915348,54.94,-1.78,-1.22
0.5,-0.5,0.000313025,54.11,-4.86,1.9
1,1.75,0.000140512,55.38,-4.92,1.93
1,1.5,0.008965825,56.35,-4.93,1.92
0.812465368,1,0.002440848,56.51,-4.93,1.94
1.5,0.072976416,0.012931199,58.21,1.32,-1.19
1.258992271,1.25,0.001953295,13.8,-1.78,-1.18
0.595073746,1.87503127,0.042667351,7.69,-5.19,2.84
2,1.877877226,-0.037705162,58.13,0,0
-0.25,1.012347533,0.007299633,-29.95,0,0
-0.75,1.25,0.002829353,14.63,-4.33,2.39
-1,-0.25,0.003409235,57.68,0,0
1.649559743,0.309108445,0.008946414,-28.92,0,0
0.58589323,0.397903252,0.007453582,7.05,-5.16,2.8
0.613146025,1.5,-0.008562306,8.76,-1.76,-0.35
1.581961969,1.5,0.005634945,8.98,-4.79,2.75
1.250541912,2,-0.005342446,9.48,-4.84,2.73
0.460712573,2,0,9.95,-4.79,2.7
1.918750326,1.470281044,0.003100883,10.23,-4.8,2.7
0.139522542,0.061792401,-0.001530945,19.43,-1.13,2.44
0.666964505,0.261967581,-0.034477308,-3.44,-4.07,-0.34
1.25,1.614916102,0.033481764,-9.7,1.72,-0.46
0.669180558,1.644161293,0.0023467,1.94,-6.99,-0.48
0.981526813,0.473664282,0,10.74,-4.75,2.65
1.318539924,0.913677705,0.00438814,10.88,-1.6,-0.5
1,1.575018608,-0.0002885,20.53,-1.12,-0.73
1.082447366,1.462953261,0.005399479,3.5,-7.1,-0.52
1.91444501,1.75,-0.003386303,11.38,-1.56,-0.53
-0.5,1.028481242,0.00160988,22.97,-4.1,2.32
1.744192299,1.064156855,0.006211624,4.43,-7.17,-0.57
1.772505414,0,-0.002737516,11.95,-4.62,2.56
1.933413986,0.847048787,-0.055008079,5.59,-1.98,2.8
2,0.403035584,0.037452242,-7.14,-1.21,-0.58
0.276039691,1.65517964,0.004568909,7.1,-4.12,2.51
0.581638278,0.118705039,-0.001290086,23.04,-4.1,2.28
1.710044515,0.59632857,-0.004063404,8.34,-4.16,2.47
0.941183475,0.342067901,-0.000316237,23.79,-0.98,-0.87
0.028358616,-1.5,-0.001077344,19.89,-3.75,2.24
2,-1.5,-0.006646952,20.32,-3.83,2.23
1.5,-1.75,0.002690672,20.59,-3.82,2.23
1.75,-1.25,-0.004879588,20.83,-0.69,-0.92
0.735683038,-0.75,0.004794206,21.08,-3.84,2.22
1.448487643,1.865893696,-0.038875635,1.56,-1.87,2.8
1,1.140114405,0.034023362,-4.3,-4.12,2.45
0.5,-1,0,21.29,-3.84,2.21
0,-0.5,-0.006668161,21.39,-0.71,-0.94
-2,-1,0,21.46,-0.71,-0.94
0,0.835001176,-0.005310302,10.75,-1.07,-0.76
0,-0.5,0.001602433,14.21,-1.24,-0.76
1.09444636,-0.25,-0.002190736,14.2,-1.22,-0.76
0,-0.5,-0.002921637,14.68,-1.17,-0.79
0,-0.25,-0.002298158,14.66,-1.17,-0.79
0.121284463,0,0,14.61,-1.18,-0.79
0.748559967,1.416690182,-0.022616158,4.73,-2.09,2.8
-0.5,0.406769134,0.017467737,-7.31,-1.07,-0.64
-0.25,0.535040648,0.003124373,12.99,-1.07,-0.79
1.096393289,-1,0.001303107,14.72,-1.18,-0.79
-0.5,1.338174759,-0.004935809,25.25,-3.95,2.17
-1,-0.75,0.004596326,22.49,-3.84,2.16
-0.75,-0.75,0.001615069,22.59,-3.85,2.17
-1.25,-1.25,0.004717478,22.5,-3.84,2.16
-1.5,-0.75,0.004773676,22.59,-3.87,2.16
0.468736264,-0.75,0.004775535,22.62,-3.85,2.16
1.021202665,-0.25,0.004831826,22.62,-0.72,-0.97
0.507020515,0.464380881,-0.046304207,1.91,-1.99,2.8
0.14610135,1.156003798,0.00874273,11.99,0,0
0.739134493,1.865581526,-0.011824722,26.73,0,0
1.301998228,0.286606456,0.123844635,22.99,-4.06,2.17
1.378804556,0.688621432,0.016824999,48.92,-0.15,-1.24
1.65489331,0.326909118,-0.023086638,26.62,-0.97,-1.09
0.608847906,0.888984557,0.123919612,20.05,-1.04,-0.9
0.711268758,0.990749266,0.012986154,38.48,0,0
1.177372554,1.659285193,-0.053628897,26.55,0,0
1.762376819,0.583457699,0.123782467,20.1,-4.16,2.23
0.299994168,1.959457956,0.017045005,49.64,-0.15,-1.24
0.247929473,1.899897341,-0.024389591,26.41,-1.01,-1.06
1.767500926,0.828101522,0.123541682,18.87,-1.1,-0.86
1.892186941,1.327873424,0.013158766,38.7,0,0
0.155869889,1.172679954,-0.055879572,26.24,0,0
1.456060285,1.046056442,0.123265136,20.41,-1.05,-0.88
1.612134751,1.542197496,-0.064495598,2.31,-1.89,2.8
1.186391179,1.025854008,0.012306172,-10.58,0,0
1.354358541,0.601854799,-0.046372224,-18.93,0,0
0.892054606,1.103789534,0.123159074,20.62,-1.04,-0.88
1.389865292,0.988120101,0.010100548,37.97,0,0
1.410235938,0.363904369,-0.013153326,26.01,0,0
-0.5,1.985671477,0.123098994,21.84,-0.97,-0.91
1.25,1,-0.002362746,21,-0.74,-0.9
0.75,0,-0.007983647,20.81,-3.82,2.23
-0.5,0.5,-0.006869256,20.84,-0.73,-0.91
-2,0.5,-0.006776874,20.75,-0.72,-0.9
0,1.391023683,-0.001465476,11.32,-4.17,2.4
0.63385877,-0.25,0.002405177,14.59,-1.23,-0.74
0.381702221,1.398360574,-0.039428764,4.84,-2.02,2.8
